AUC,FalseNegatives,FalsePositives,Precision,Recall,TrueNegatives,TruePositives,accuracy,loss,val_AUC,val_FalseNegatives,val_FalsePositives,val_Precision,val_Recall,val_TrueNegatives,val_TruePositives,val_accuracy,val_loss
0.5581785440444946,6047.0,4855.0,0.5514183044433594,0.49671244621276855,7160.0,5968.0,0.5463171005249023,0.7400479316711426,0.6297183036804199,1217.0,101.0,0.7262872457504272,0.18047137558460236,1384.0,268.0,0.5562289357185364,0.7844870686531067
0.6594340801239014,4397.0,4791.0,0.6139092445373535,0.6340407729148865,7224.0,7618.0,0.6176446080207825,0.6851164102554321,0.7035125494003296,740.0,355.0,0.6772727370262146,0.5016834735870361,1130.0,745.0,0.631313145160675,0.717356264591217
0.7238657474517822,3387.0,4629.0,0.6508259773254395,0.7181023955345154,7386.0,8628.0,0.6664170026779175,0.640613853931427,0.7800920605659485,152.0,794.0,0.6267042756080627,0.8976430892944336,691.0,1333.0,0.6814814805984497,0.6295849680900574
0.7379443645477295,3124.0,4597.0,0.6591785550117493,0.7399916648864746,7418.0,8891.0,0.6786932945251465,0.6238606572151184,0.6677656173706055,757.0,435.0,0.6259673237800598,0.49023568630218506,1050.0,728.0,0.5986531972885132,0.7459723949432373
0.7508943676948547,2943.0,4629.0,0.6621414422988892,0.7550562024116516,7386.0,9072.0,0.6848939061164856,0.6087880730628967,0.7582316994667053,507.0,438.0,0.6906779408454895,0.6585858464241028,1047.0,978.0,0.6818181872367859,0.6144700050354004
0.7598567605018616,3081.0,4393.0,0.6703684329986572,0.7435705661773682,7622.0,8934.0,0.6889721155166626,0.5959082841873169,0.6352034211158752,930.0,334.0,0.6242969632148743,0.3737373650074005,1151.0,555.0,0.5744107961654663,0.8897443413734436
0.7747976779937744,2998.0,4064.0,0.6893203854560852,0.7504785656929016,7951.0,9017.0,0.7061173319816589,0.5779733061790466,0.7756744027137756,389.0,521.0,0.6777983903884888,0.7380471229553223,964.0,1096.0,0.6936026811599731,0.5790751576423645
0.7893668413162231,3055.0,3716.0,0.706847608089447,0.7457345128059387,8299.0,8960.0,0.718227207660675,0.561784565448761,0.7644616961479187,364.0,548.0,0.6716596484184265,0.7548821568489075,937.0,1121.0,0.6929292678833008,0.5875595211982727
0.7979496121406555,2916.0,3647.0,0.7138710021972656,0.7573033571243286,8368.0,9099.0,0.726883053779602,0.5500195622444153,0.7028452157974243,593.0,472.0,0.6539589166641235,0.6006733775138855,1013.0,892.0,0.6414141654968262,0.644139289855957
0.8088231086730957,2785.0,3619.0,0.7183438539505005,0.7682064175605774,8396.0,9230.0,0.7334997653961182,0.5356274247169495,0.7747597098350525,822.0,204.0,0.7647058963775635,0.4464646577835083,1281.0,663.0,0.6545454263687134,0.6599979400634766
